assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level
GCF_009833985.1,ASM983398v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/833/985/GCF_009833985.1_ASM983398v1,SAMN10417148,,
GCF_008033095.1,ASM803309v1,Mycobacterium tuberculosis variant bovis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/095/GCF_008033095.1_ASM803309v1,SAMN11954087,,
GCF_003704015.1,ASM370401v1,Mycobacterium tuberculosis variant bovis BCG (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/015/GCF_003704015.1_ASM370401v1,SAMN10278076,,
GCF_003703995.1,ASM370399v1,Mycobacterium tuberculosis variant bovis BCG (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/995/GCF_003703995.1_ASM370399v1,SAMN10279424,,
GCF_003129545.1,ASM312954v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/129/545/GCF_003129545.1_ASM312954v1,SAMN08765497,,
GCF_003044235.1,ASM304423v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/235/GCF_003044235.1_ASM304423v1,SAMN08794918,,
GCF_002946495.1,ASM294649v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/495/GCF_002946495.1_ASM294649v1,SAMN08462824,,
GCA_002895065.1,ASM289506v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN06854786,,
GCF_002290165.1,ASM229016v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/290/165/GCF_002290165.1_ASM229016v1,SAMN07570350,,
GCF_002290145.1,ASM229014v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/290/145/GCF_002290145.1_ASM229014v1,SAMN07570351,,
GCF_001969025.1,ASM196902v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/025/GCF_001969025.1_ASM196902v1,SAMN04595071,,
GCF_001969035.1,ASM196903v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/035/GCF_001969035.1_ASM196903v1,SAMN04595072,,
GCF_002000965.1,ASM200096v1,Mycobacterium tuberculosis TRS22 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/965/GCF_002000965.1_ASM200096v1,SAMN02837642,,
GCF_002000945.1,ASM200094v1,Mycobacterium tuberculosis TRS29 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/945/GCF_002000945.1_ASM200094v1,SAMN02837649,,
GCF_002000925.1,ASM200092v1,Mycobacterium tuberculosis TRS10 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/925/GCF_002000925.1_ASM200092v1,SAMN02837630,,
GCF_002000905.1,ASM200090v1,Mycobacterium tuberculosis TRS25 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/905/GCF_002000905.1_ASM200090v1,SAMN02837645,,
GCF_001998735.1,ASM199873v1,Mycobacterium tuberculosis TRS26 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/735/GCF_001998735.1_ASM199873v1,SAMN02837646,,
GCF_001998705.1,ASM199870v1,Mycobacterium tuberculosis TRS24 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/705/GCF_001998705.1_ASM199870v1,SAMN02837644,,
GCF_001998645.1,ASM199864v1,Mycobacterium tuberculosis TRS27 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/645/GCF_001998645.1_ASM199864v1,SAMN02837647,,
GCF_001998585.1,ASM199858v1,Mycobacterium tuberculosis TRS11 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/585/GCF_001998585.1_ASM199858v1,SAMN02837631,,
GCF_001998545.1,ASM199854v1,Mycobacterium tuberculosis TRS8 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/545/GCF_001998545.1_ASM199854v1,SAMN02837628,,
GCF_001998485.1,ASM199848v1,Mycobacterium tuberculosis TRS28 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/485/GCF_001998485.1_ASM199848v1,SAMN02837648,,
GCF_001998455.1,ASM199845v1,Mycobacterium tuberculosis TRS4 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/455/GCF_001998455.1_ASM199845v1,SAMN02837624,,
GCF_001998425.1,ASM199842v1,Mycobacterium tuberculosis TRS6 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/425/GCF_001998425.1_ASM199842v1,SAMN02837626,,
GCF_001998365.1,ASM199836v1,Mycobacterium tuberculosis TRS2 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/365/GCF_001998365.1_ASM199836v1,SAMN02837623,,
GCF_001998265.1,ASM199826v1,Mycobacterium tuberculosis TRS18 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/265/GCF_001998265.1_ASM199826v1,SAMN02837638,,
GCF_001998225.1,ASM199822v1,Mycobacterium tuberculosis TRS15 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/225/GCF_001998225.1_ASM199822v1,SAMN02837635,,
