uid,assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level,submitter
69716068,GCF_047302475.1,ASM4730247v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/302/475/GCF_047302475.1_ASM4730247v1,SAMN41592676,,,Korea National Institute of Health
55825348,GCF_963993255.1,ASM_P059-N1392,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/255/GCF_963993255.1_ASM_P059-N1392,SAMEA115401574,,,Swiss Tropical and Public Health Institute
75500188,GCF_051294535.1,ASM5129453v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/535/GCF_051294535.1_ASM5129453v1,SAMN48739296,,,Texas A&M University
17920311,GCA_030572955.1,ASM3057295v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419370,,,Ministry of Health
70456388,GCF_047782885.1,ASM4778288v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN46723459,,,San Diego State University
19444921,GCF_033124145.1,ASM3312414v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/124/145/GCF_033124145.1_ASM3312414v1,SAMN28021336,,,Medical Life Sciences Institute
80385598,GCF_977011385.1,K29X0482,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/385/GCF_977011385.1_K29X0482,SAMEA120393833,,,the seqafrica consortium
54712588,GCF_037076315.1,ASM3707631v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/076/315/GCF_037076315.1_ASM3707631v1,SAMD00269951,,,"Department of Pathophysiology and Host Defense, The Research Institute of Tuberculosis, Japan Anti-Tuberculosis Association"
75171908,GCF_051132375.1,CDC1551.1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/132/375/GCF_051132375.1_CDC1551.1,SAMN33579307,,,Rutgers University
70215388,GCF_965121955.1,WBB1454,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/121/955/GCF_965121955.1_WBB1454,SAMEA104606030,,,LSHTM
59656118,GCF_040209215.1,ASM4020921v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/209/215/GCF_040209215.1_ASM4020921v1,SAMN41453956,,,Research Institute for Tropical Medicine
73933698,GCA_050310085.1,ASM5031008v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN48127006,,,Masan National Tuberculosis Hospital
17922851,GCA_030577095.1,ASM3057709v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419348,,,Ministry of Health
17921191,GCA_030574415.1,ASM3057441v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419363,,,Ministry of Health
17920191,GCA_030572755.1,ASM3057275v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419371,,,Ministry of Health
58738588,GCF_039555375.1,ASM3955537v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/555/375/GCF_039555375.1_ASM3955537v1,SAMN41141444,,,Nottingham Trent University
60493488,GCF_040820785.1,INP37446,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/785/GCF_040820785.1_INP37446,SAMN37563202,,,Khon Kaen University
55825478,GCF_963993225.1,ASM_P003-N1374,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/225/GCF_963993225.1_ASM_P003-N1374,SAMEA115401563,,,Swiss Tropical and Public Health Institute
75500268,GCF_051294565.1,ASM5129456v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/565/GCF_051294565.1_ASM5129456v1,SAMN48739294,,,Texas A&M University
80383538,GCF_977011605.1,K55TAT106,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/605/GCF_977011605.1_K55TAT106,SAMEA120393855,,,the seqafrica consortium
69716128,GCF_047302505.1,ASM4730250v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/302/505/GCF_047302505.1_ASM4730250v1,SAMN41592675,,,Korea National Institute of Health
70215478,GCF_965124865.1,WBB1452,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/124/865/GCF_965124865.1_WBB1452,SAMEA104606025,,,LSHTM
